,culture,id,age.group,gender,test.date,counterbalancing.order,trial.nr,condition,story,better.job,better.job.reli,better.job.correct,better.job.correct.reli,better.job.why,better.job.why.cat,better.job.why.cat.reli,help.seeking,help.seeking.reli,help.seeking.correct,help.seeking.correct.reli,help.seeking.why,help.seeking.why.cat,help.seeking.why.cat.reli,comments,age,age.group.sum,sub.id
13,china,3,4,male,10/3/20,process.only,1,process.only,cat,1,NA,correct,NA,他发现了东西，所以有可能在那,process,process,1,NA,correct,NA,因为他找到了猫脖子上戴的铃铛，他发现了本来在一个东西上的物品。,process,process,NA,4.350444901,4.5,3.china
14,china,3,4,male,10/3/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为她找到了鸭子，她的转盘指向黄色了，鸭子藏在黄色的栅栏后面,outcome,outcome,0,NA,correct,NA,因为她找到了鸭子,outcome,outcome,NA,4.350444901,4.5,3.china
15,china,3,4,male,10/3/20,process.only,3,outcome.vs.process,dog,0,NA,wrong,NA,因为她认为在粉花丛后面，它就是在粉花丛后面。,outcome,outcome,0,NA,wrong,NA,因为她找到了狗。,outcome,outcome,NA,4.350444901,4.5,3.china
16,china,3,4,male,10/3/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为他认为兔子藏在红石头后面，兔子就是藏在红石头后面,outcome,outcome,0,NA,correct,NA,因为我觉得红衣服的聪明，因为他找到了兔子,outcome,outcome,NA,4.350444901,4.5,3.china
17,china,3,4,male,10/3/20,process.only,5,process.only,hamster,1,NA,correct,NA,因为她找到了脚印,process,process,1,NA,correct,NA,因为她找到了脚印，就认为它从白木头这跑到其它地方去了，她比较聪明。,process,process,NA,4.350444901,4.5,3.china
18,china,3,4,male,10/3/20,process.only,6,outcome.vs.process,bird,0,NA,wrong,NA,因为他找到了鸟,outcome,outcome,0,NA,wrong,NA,因为他找到了鸟，他比较聪明一点,outcome,outcome,NA,4.350444901,4.5,3.china
19,china,4,4,male,10/4/20,process.only,1,process.only,cat,1,NA,correct,NA,他发现铃铛了,process,process,1,NA,correct,NA,因为穿红衣的漂亮，美美的草莓衣服,other,other,NA,4.700889802,4.5,4.china
20,china,4,4,male,10/4/20,process.only,2,outcome.only,duck,0,NA,correct,NA,她找到了小鸭子，它藏在黄色的后面了,outcome,outcome,0,NA,correct,NA,因为她最擅长，她找到了小鸭子,outcome,outcome,NA,4.700889802,4.5,4.china
21,china,4,4,male,10/4/20,process.only,3,outcome.vs.process,dog,0,NA,wrong,NA,因为她发现了小狗，它在这，高高跳着跳着跳到粉花丛这里了。,outcome,outcome,0,NA,wrong,NA,因为她找到小狗了,outcome,outcome,NA,4.700889802,4.5,4.china
22,china,4,4,male,10/4/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为他找到小兔子了,outcome,outcome,0,NA,correct,NA,因为他找到兔子了,outcome,outcome,NA,4.700889802,4.5,4.china
23,china,4,4,male,10/4/20,process.only,5,process.only,hamster,1,NA,correct,NA,因为她发现了脚印,process,process,1,NA,correct,NA,因为她找到了脚印,process,process,"for the better job question, the male first replied that ""neither of them is doing well, since the hamster has ran away""",4.700889802,4.5,4.china
24,china,4,4,male,10/4/20,process.only,6,outcome.vs.process,bird,0,NA,wrong,NA,因为他找到蓝墙后面的小鸟，他（黄衣服的）只找到了一根羽毛。,outcome,outcome,0,NA,wrong,NA,因为他用转盘找到了小鸟,outcome,outcome,NA,4.700889802,4.5,4.china
25,china,5,4,male,9/26/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,因为他找到了他们的兔子。,outcome,outcome,0,NA,correct,NA,因为他找东西最好。,outcome,outcome,NA,4.112251882,4.5,5.china
26,china,5,4,male,9/26/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,以为脚印是指向，我没看见它，它肯定是藏在里面了。,process,process,1,NA,correct,NA,因为他找东西最好，脚印指向他那边的，他会找到的。,process,process,NA,4.112251882,4.5,5.china
27,china,5,4,male,9/26/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为他找东西最好心了，他看到了蓝墙，看到鸟了。,outcome,outcome,0,NA,wrong,NA,因为他看到蓝墙后面就是他们的鸟。,outcome,outcome,NA,4.112251882,4.5,5.china
28,china,5,4,male,9/26/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为他找东西最好了，他指向那边，看到铃铛就是他找到了。,process,process,1,NA,correct,NA,因为他看到了铃铛，是猫咪掉在这的，可以用铃铛找到猫咪。,process,process,NA,4.112251882,4.5,5.china
29,china,5,4,male,9/26/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为小鸭藏在黄栅栏后面。,outcome,outcome,0,NA,wrong,NA,因为她有一个左右转盘，黄色栅栏后面就是她们的鸭子。,outcome,outcome,NA,4.112251882,4.5,5.china
30,china,5,4,male,9/26/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为粉花丛就是她们的狗了。,outcome,outcome,0,NA,wrong,NA,因为狗狗是她们的好东西，不能丢，因为是在粉花丛后面，因为我们听的是找东西的故事，我们必须确定一些动物跑在哪里。,outcome,outcome,NA,4.112251882,4.5,5.china
31,china,6,4,male,10/6/20,outcome.only,1,outcome.only,bunny,1,1,wrong,wrong,因为我觉得它找到兔子了. See also my comment,outcome,outcome,0,0,correct,correct,因为红衣服的能找到所有的东西,outcome,outcome,"for the better question, the male firstly replied me that ""the kid in blue shirt is doing better, since I think he found the bunny."" I then repeated that ""let's look at the picture. Zixuan in red shirt think that the bunny is behind the red stone; and Zhuangzhuagn in blue shirt think the bunny is behind the grey stone, who found the bunny?"" Then the kid replied that ""it's the kid in red shrit."" I asked again ""who do you think is doing a better job looking for the bunny"". The male replied that ""the one in the read shirt"". When coding, I code his first answer ""the kid in blue shirt."" For the help-seeking question, the male picked the correct answer of ""the kid in the red shrit.""",4.062970568,4.5,6.china
32,china,6,4,male,10/6/20,outcome.only,2,process.only,hamster,1,1,correct,correct,因为她找到脚印,process,process,1,1,correct,correct,因为她能找到所有的东西，比如说，仓鼠的小脚印,process,process,NA,4.062970568,4.5,6.china
33,china,6,4,male,10/6/20,outcome.only,3,outcome.vs.process,bird,0,0,wrong,wrong,因为它找到了鸟，鸟就躲在蓝墙后面,outcome,outcome,0,0,wrong,wrong,因为绿衣服的能找到所有的东西,outcome,outcome,NA,4.062970568,4.5,6.china
34,china,6,4,male,10/6/20,outcome.only,4,process.only,cat,1,1,correct,correct,因为红衣服找到了它掉在地上的铃铛,process,process,1,1,correct,correct,因为红衣服的能找到所有的东西，比如掉在地上的铃铛,process,process,NA,4.062970568,4.5,6.china
35,china,6,4,male,10/6/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,因为红衣服的找到了，她说是橙色的栅栏，小鸭就躲在橙色栅栏这,outcome,outcome,1,1,correct,correct,因为红衣服的能找到所有的东西，比如说她们的宠物小鸭,outcome,outcome,NA,4.062970568,4.5,6.china
36,china,6,4,male,10/6/20,outcome.only,6,outcome.vs.process,dog,0,0,wrong,wrong,因为绿衣服的找到了小狗,outcome,outcome,0,0,wrong,wrong,因为绿衣服的找到了小狗，他能找到所有的东西。,outcome,outcome,NA,4.062970568,4.5,6.china
37,china,7,4,male,10/7/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,他觉得这个红石头藏着一个小兔子,outcome,outcome,0,NA,correct,NA,我不知道,i don't know,i don't know,NA,4.572210815,4.5,7.china
38,china,7,4,male,10/7/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,它觉得仓鼠脚印往白木头，他脚印觉得藏在白木头后面了,process,process,1,NA,correct,NA,我不知道,i don't know,i don't know,NA,4.572210815,4.5,7.china
39,china,7,4,male,10/7/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为我看到小鸟飞到蓝墙后面了,outcome,outcome,0,NA,wrong,NA,我不会了，我忘了,i don't know,i don't know,NA,4.572210815,4.5,7.china
40,china,7,4,male,10/7/20,outcome.only,4,process.only,cat,0,NA,wrong,NA,我不知道了,i don't know,i don't know,0,NA,wrong,NA,我不知道,i don't know,i don't know,NA,4.572210815,4.5,7.china
41,china,7,4,male,10/7/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为她觉得黄色的栅栏后面有一个宠物,outcome,outcome,0,NA,correct,NA,我就让红衣服的帮我,i don't know,i don't know,NA,4.572210815,4.5,7.china
42,china,7,4,male,10/7/20,outcome.only,6,outcome.vs.process,dog,1,NA,correct,NA,因为黄衣服看到狗的脚印，觉得黄色的花后面有一只小狗,process,process,1,NA,correct,NA,我就让黄衣服的帮我,i don't know,i don't know,"I'm not sure if the kid really understand this story. He is a bit distracted while I told this story. For the better job question, he firstly replied me that ""Since the kid in yellow shirt find the traces of the dogs, he think that the dog is behind the yellow busah"". I then asked him, ""oh, where is the dog now"". He replied me ""behind the yellow busah"" . I then asked ""Do you see the dog behind the yellow flowers or the pink flowers now?"" the kid replied ""behind the pink busah"". I asked again ""Who do you think is doing a better job looking for the dog"". He replied that ""the kid in yellow shirt"". I asked again ""who found the dog?"" the kid replied that ""the kid in the yellow shirt found the dog"".
""",4.572210815,4.5,7.china
43,china,8,4,male,10/7/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,因为兔子在红石头后面,outcome,outcome,0,NA,correct,NA,因为她找到了自己的小兔子,outcome,outcome,NA,4.372347707,4.5,8.china
44,china,8,4,male,10/7/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为她看见了仓鼠的脚印从山上走到白木头后,process,process,1,NA,correct,NA,因为黄衣服的看见仓鼠的脚印从山上往下跑,process,process,"for the better job question, the kid firstly replied that ""neither of them is good, since the hamster is not behind either log"". Then I forced him to choose.",4.372347707,4.5,8.china
45,china,8,4,male,10/7/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为小鸟在蓝墙后面,outcome,outcome,0,NA,wrong,NA,因为绿衣服的找到小鸟在蓝墙的后面，小鸟本来就在蓝墙后面，所以我让绿衣服的给我找,outcome,outcome,NA,4.372347707,4.5,8.china
46,china,8,4,male,10/7/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为他找到了小猫的铃铛，穿绿衣服的椅子后面什么也没有,process,process,1,NA,correct,NA,因为他找到了小猫的铃铛,process,process,"for the better job question, the kid firstly replied that ""neither of them is good, since the cat is not behind either bench"". Then I forced him to choose.",4.372347707,4.5,8.china
47,china,8,4,male,10/7/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为小鸭子在黄色的栅栏后面,outcome,outcome,0,NA,correct,NA,因为她找到了小鸭子,outcome,outcome,NA,4.372347707,4.5,8.china
48,china,8,4,male,10/7/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为绿衣服的找到了他们俩的小狗,outcome,outcome,0,NA,wrong,NA,因为她找到了小狗，她表现的有点好,outcome,outcome,NA,4.372347707,4.5,8.china
49,china,9,4,female,8/16/20,process.only,1,process.only,cat,1,NA,correct,NA,因为小猫掉了铃铛我才看见的,process,process,1,NA,correct,NA,红衣服的找的对，红衣服的看到铃铛，对,process,process,NA,4.741957563,4.5,9.china
50,china,9,4,female,8/16/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为玉玉找的好，紫衣服的找的不好。因为玉玉看到这只鸭子了。,outcome,outcome,0,NA,correct,NA,因为玉玉看到鸭子了，她指到鸭子了,outcome,outcome,NA,4.741957563,4.5,9.china
51,china,9,4,female,8/16/20,process.only,3,outcome.vs.process,dog,0,NA,wrong,NA,因为她点兵点将了，她就对了，她找的对,outcome,outcome,0,NA,wrong,NA,因为绿衣服的找的对呀,outcome,outcome,NA,4.741957563,4.5,9.china
52,china,9,4,female,8/16/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为她点兵点将点的对,outcome,outcome,0,NA,correct,NA,因为他点兵点将点的对,outcome,outcome,NA,4.741957563,4.5,9.china
53,china,9,4,female,8/16/20,process.only,5,process.only,hamster,1,NA,correct,NA,"因为就是找的好，因为我妈妈找不到--？？""Because that she just did well"" ""becsusae my Mom can not find the hamster""  --> yes I would say other here, Because did well could mean outcome or process.",other,other,1,NA,correct,NA,"因为她找的对，她看到脚印了,我也看到脚印了。",process,process,"for the better job question, the kid firstly answered that ""they both are not good""",4.741957563,4.5,9.china
54,china,9,4,female,8/16/20,process.only,6,outcome.vs.process,bird,0,NA,wrong,NA,因为我看到小鸟了呀,outcome,outcome,0,NA,wrong,NA,因为绿衣服找的对,outcome,outcome,"for the better job question, the kid firstly answered that ""the kid in the green shirt did good, the kid in the yellow shirt also did good""",4.741957563,4.5,9.china
55,china,10,4,female,9/13/20,process.only,1,process.only,cat,1,NA,correct,NA,因为她找到了小猫的铃铛了,process,process,0,NA,wrong,NA,因为绿色好看呀,other,other,"for the help seeking question, she first replied that ""i don't know"" three time even after I forced her to choose one. On the fourth time, she choose the one wear green shirt and justified that Because the color of green is beautiful.",4.030116359,4.5,10.china
56,china,10,4,female,9/13/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为她指的那个黄色是对的,outcome,outcome,0,NA,correct,NA,因为她那个转盘可以指向颜色呀，这边的屏幕我看到小鸭子了,outcome,outcome,NA,4.030116359,4.5,10.china
57,china,10,4,female,9/13/20,process.only,3,outcome.vs.process,dog,0,NA,wrong,NA,因为小狗就是藏在粉花丛后面的,outcome,outcome,0,NA,wrong,NA,因为小狗就是藏在粉花丛后面的,outcome,outcome,NA,4.030116359,4.5,10.china
58,china,10,4,female,9/13/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为兔子就是藏在红石头后面的呀,outcome,outcome,1,NA,wrong,NA,因为可能是他想错了兔子在哪块石头后面了(我继续问，为什么他想错了，你就要找他帮忙呢，回答说我也不知道，我瞎想的）,other,other,NA,4.030116359,4.5,10.china
59,china,10,4,female,9/13/20,process.only,5,process.only,hamster,1,NA,correct,NA,因为她找到仓鼠的脚印了,process,process,0,NA,wrong,NA,因为她有一个转盘呀，她的转盘上的箭头可以指向颜色 (再问为什么，说不知道),other,other,NA,4.030116359,4.5,10.china
60,china,10,4,female,9/13/20,process.only,6,outcome.vs.process,bird,0,NA,wrong,NA,因为我们这边这个屏幕上，鸟就是在蓝墙后面呀,outcome,outcome,0,NA,wrong,NA,因为天宝的转盘可以指颜色，如果我的玩具如果掉在两种颜色的东西后面，他可以转转盘呀。,outcome,other,NA,4.030116359,4.5,10.china
61,china,11,4,female,10/1/20,process.only,1,process.only,cat,1,1,correct,correct,因为她看到红椅子旁边有铃铛。,process,process,1,1,correct,correct,因为我看到红椅子的旁边有个铃铛，她找就到了一个铃铛。,process,process,NA,4.462696783,4.5,11.china
62,china,11,4,female,10/1/20,process.only,2,outcome.only,duck,0,0,correct,correct,因为我看到黄栅栏后面有个鸭子。,outcome,outcome,0,0,correct,correct,因为黄栅栏后面有只鸭子，她的方向盘指向黄色。,outcome,outcome,NA,4.462696783,4.5,11.china
63,china,11,4,female,10/1/20,process.only,3,outcome.vs.process,dog,0,0,wrong,wrong,因为我看到草丛后面有一只狗。,outcome,outcome,0,0,wrong,wrong,因为我看到蓝衣服的后面有只狗。,outcome,outcome,NA,4.462696783,4.5,11.china
64,china,11,4,female,10/1/20,process.only,4,outcome.only,bunny,0,0,correct,correct,因为我看到红色石头后面有只小兔子。,outcome,outcome,0,0,correct,correct,因为我看到红色石头后面有只兔子。,outcome,outcome,NA,4.462696783,4.5,11.china
65,china,11,4,female,10/1/20,process.only,5,process.only,hamster,1,1,correct,correct,因为我看到白木头旁边有一串脚印，黄衣服的找到了一串脚印。,process,process,1,1,correct,correct,因为我看到白木头旁边有一串脚印，黄衣服的找到了脚印。,process,process,NA,4.462696783,4.5,11.china
66,china,11,4,female,10/1/20,process.only,6,outcome.vs.process,bird,0,0,wrong,wrong,因我我看到蓝色砖头后面有一只小鸟。,outcome,outcome,0,0,wrong,wrong,因为蓝色砖头后面有一个小鸟。,outcome,outcome,NA,4.462696783,4.5,11.china
67,china,12,4,female,10/7/20,process.only,1,process.only,cat,1,NA,correct,NA,因为一摇铃铛猫可能就会跑出来,other,other,1,NA,correct,NA,因为他指的红椅子正确，因为红椅子旁边有一个铃铛,process,process,NA,4.755646817,4.5,12.china
68,china,12,4,female,10/7/20,process.only,2,outcome.only,duck,0,NA,correct,NA,因为小鸭子就藏在橙色的栅栏后,outcome,outcome,0,NA,correct,NA,因为我之前说过的，小鸭子就在橙色的栅栏后，我猜红色衣服可能（什么东西）都能找到,outcome,outcome,NA,4.755646817,4.5,12.china
69,china,12,4,female,10/7/20,process.only,3,outcome.vs.process,dog,0,NA,wrong,NA,因为小狗躲在黄花丛，又跳到粉花丛,outcome,outcome,0,NA,wrong,NA,因为小狗到黄花那，又跳过到粉花那，蓝衣服的指的就是粉花那,outcome,outcome,NA,4.755646817,4.5,12.china
70,china,12,4,female,10/7/20,process.only,4,outcome.only,bunny,0,NA,correct,NA,因为兔子就躲在红色石头后面,outcome,outcome,0,NA,correct,NA,因为兔子就在红石头下面,outcome,outcome,NA,4.755646817,4.5,12.china
71,china,12,4,female,10/7/20,process.only,5,process.only,hamster,0,NA,wrong,NA,因为有转盘，上面那些小动物，都是藏在右边,outcome,outcome,0,NA,wrong,NA,因为她有转盘，那个东西在右边，可能她的转盘就指向右边,outcome,outcome,NA,4.755646817,4.5,12.china
72,china,12,4,female,10/7/20,process.only,6,outcome.vs.process,bird,0,NA,wrong,NA,因为小鸟就藏在蓝色的后面,outcome,outcome,0,NA,wrong,NA,因为她有转盘， 而且转盘在蓝色那，小鸟就在蓝色的转盘那,outcome,outcome,NA,4.755646817,4.5,12.china
73,china,13,4,female,8/23/20,outcome.only,1,outcome.only,bunny,0,0,correct,correct,因为兔子本来就跑到红石头后面了,outcome,outcome,0,0,correct,correct,因为子轩一下就找到兔子在哪个石头后面了,outcome,outcome,NA,4.440793977,4.5,13.china
74,china,13,4,female,8/23/20,outcome.only,2,process.only,hamster,0,0,wrong,wrong,"因为我看不到仓鼠，我感觉他们俩和我都看不到仓鼠。我感觉粉衣服一下就找到了。我猜仓鼠在棕木头后""I guess the hamster is behind the brown logs"" --> I think I would categorize this as outcome.",outcome,outcome,0,0,wrong,wrong,"因为我以为雨涵第一个就找到仓鼠了呢（ ""since I thought that XX found the hamster at once"" --> Yes, I think other is here the correct category）",other,other,NA,4.440793977,4.5,13.china
75,china,13,4,female,8/23/20,outcome.only,3,outcome.vs.process,bird,0,0,wrong,wrong,因为天宝一下就知道鸟在蓝墙后面,outcome,outcome,0,0,wrong,wrong,因为天宝一下就找到他的宠物了,outcome,outcome,NA,4.440793977,4.5,13.china
76,china,13,4,female,8/23/20,outcome.only,4,process.only,cat,1,1,correct,correct,"因为我觉得小九一下就找到小猫了 （ ""since I thought that XX found the cat at once"" --> Here I would also say other. ）",outcome,outcome,1,1,correct,correct,"因为小九一下就找到小猫在哪个椅子了。（""since XX found out which chair the cat is behind at once"" --> Also here I would say other. ）",other,other,NA,4.440793977,4.5,13.china
77,china,13,4,female,8/23/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,因为小鸭藏在黄栅栏后，玉玉一下就找到了,outcome,outcome,0,0,correct,correct,因为她一下就找到她的宠物了,outcome,outcome,NA,4.440793977,4.5,13.china
78,china,13,4,female,8/23/20,outcome.only,6,outcome.vs.process,dog,0,0,wrong,wrong,因为妞妞一下就知道小狗藏在粉花丛后面了,outcome,outcome,0,0,wrong,wrong,因为妞妞一下就找到宠物，所以她肯定能找到啊。,outcome,outcome,NA,4.440793977,4.5,13.china
79,china,14,4,female,10/8/20,outcome.only,1,outcome.only,bunny,0,0,correct,correct,因为我已经在屏幕上看到兔子了,outcome,outcome,0,0,correct,correct,不知道,i don't know,i don't know,NA,4.290212183,4.5,14.china
80,china,14,4,female,10/8/20,outcome.only,2,process.only,hamster,1,1,correct,correct,因为她用脚印来比较动物在哪里，那就会很容易啦,process,process,1,1,correct,correct,因为她用脚印来分析的的话，会更快找到动物或人类真相，所以我就选择黄衣服的甜甜。,process,process,NA,4.290212183,4.5,14.china
81,china,14,4,female,10/8/20,outcome.only,3,outcome.vs.process,bird,0,0,wrong,wrong,因为他要是闭眼睛的话，就会一切都是黑的，他用了转盘，就会想象他的脑子里面是白天，或者是红的或是蓝的，他用了转盘的话，指向了蓝部分，所以就是蓝的。,outcome,outcome,0,0,wrong,wrong,因为他用了转盘，转盘就是箭头指向蓝部或者红部，他闭上眼睛不知道它藏在红墙还是白墙还是蓝墙，就会脑子里面猜，用了转盘就知道是在蓝墙后面，所以，我的玩具想让绿衣服的找。,outcome,outcome,NA,4.290212183,4.5,14.china
82,china,14,4,female,10/8/20,outcome.only,4,process.only,cat,1,1,correct,correct,因为他用铃铛来指示小猫在哪里，他就可以知道它在哪里。,process,process,1,1,correct,correct,因为他用铃铛的话，就能轻松找到他们俩的小猫，助人为乐就是一个要是找到了线索，别人就会很开心。,process,process,"for the help-seeking question, the kid first replied me that ""i don’t know"". When I force her to choose one, she said she want to choose the one in red shirt.",4.290212183,4.5,14.china
83,china,14,4,female,10/8/20,outcome.only,5,outcome.only,duck,0,0,correct,correct,因为她的转盘指到了黄色，所以，她指的是黄栅栏后，我已经看到了小鸭在黄栅栏后,outcome,outcome,0,0,correct,correct,不知道,i don't know,i don't know,NA,4.290212183,4.5,14.china
84,china,14,4,female,10/8/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为她用点兵点将的方法，手指向了粉花丛，我已经看到小狗在粉花丛上了,outcome,outcome,0,0,wrong,wrong,因为她用点兵点兵，她已经找到小狗了,outcome,outcome,NA,4.290212183,4.5,14.china
85,china,15,4,female,10/2/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,我看见红石头后面又兔子了。,outcome,outcome,0,NA,correct,NA,因为红衣服的子轩找到红石头，红石头后面有小兔子。,outcome,outcome,NA,4.180698152,4.5,15.china
86,china,15,4,female,10/2/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为她看见了脚印。,process,process,1,NA,correct,NA,因为她找了脚印。,process,process,NA,4.180698152,4.5,15.china
87,china,15,4,female,10/2/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为我看见后面蓝墙小鸟了。,outcome,outcome,0,NA,wrong,NA,因为我看见了蓝墙后面的小鸟。,outcome,outcome,NA,4.180698152,4.5,15.china
88,china,15,4,female,10/2/20,outcome.only,4,process.only,cat,1,NA,correct,NA,因为他找到铃铛了。,process,process,1,NA,correct,NA,因为他找到铃铛了，在红椅子旁边。,process,process,NA,4.180698152,4.5,15.china
89,china,15,4,female,10/2/20,outcome.only,5,outcome.only,duck,0,NA,correct,NA,因为我看见黄栅栏后面的小鸭了，就是我看见了。,outcome,outcome,0,NA,correct,NA,因为我看到那个栅栏后面的小鸭了。,outcome,outcome,NA,4.180698152,4.5,15.china
90,china,15,4,female,10/2/20,outcome.only,6,outcome.vs.process,dog,0,NA,wrong,NA,因为我看见粉花丛里的小狗了。,outcome,outcome,0,NA,wrong,NA,因为我看见粉花丛里小狗了。,outcome,outcome,NA,4.180698152,4.5,15.china
91,china,16,4,female,10/5/20,outcome.only,1,outcome.only,bunny,0,NA,correct,NA,因为兔子本来就是躲在红石头后面的,outcome,outcome,0,NA,correct,NA,因为他觉得他们俩的兔子在红石头的后面,outcome,outcome,NA,4.421629021,4.5,16.china
92,china,16,4,female,10/5/20,outcome.only,2,process.only,hamster,1,NA,correct,NA,因为甜甜发现那些脚印，那是因为那个仓鼠喜欢白色就跑到那里躲着。,process,other,1,NA,correct,NA,因为她发现的那些脚印和那些木头的颜色，和白色木头上的花纹的颜色一摸一样,other,other,"for the better job question, the female firstly replied that ""neither of them is doing well. The hamster  run towards the white logs and left some traces, the hamster hide behind the white log and then run away after seeing the two females "". Then I encourage the female to pick one who is a bit bitter.",4.421629021,4.5,16.china
93,china,16,4,female,10/5/20,outcome.only,3,outcome.vs.process,bird,0,NA,wrong,NA,因为鸟的颜色和蓝墙的颜色是一模一样的，天宝用的转盘可以快速的转，停在那个蓝色的箭头上，就表示出那个鸟的颜色和这个蓝墙的颜色一摸一样。,other,other,0,NA,wrong,NA,因为他技术好，因为鸟本来就是在蓝墙后面的,outcome,outcome,NA,4.421629021,4.5,16.china
