subj.id	condition	trial.per.condition	culture	age.group	gender	trial	z.trial	z.trial.per.condition	condition.process.only	condition.outcome.process	condition.process.only.c	condition.outcome.process.c	culture.US	culture.US.c	age.group.6.7	age.group.adults	age.group.6.7.c	age.group.adults.c	gender.male	gender.male.c	coding
107	subj.107	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	1
299	subj.107	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
491	subj.107	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
683	subj.107	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
875	subj.107	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	1
1067	subj.107	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
109	subj.109	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
301	subj.109	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
493	subj.109	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
685	subj.109	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
877	subj.109	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
1069	subj.109	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
110	subj.110	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
302	subj.110	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
494	subj.110	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
686	subj.110	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0
878	subj.110	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
1070	subj.110	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
112	subj.112	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
304	subj.112	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
496	subj.112	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
688	subj.112	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
880	subj.112	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
1072	subj.112	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
114	subj.114	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
306	subj.114	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
498	subj.114	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
690	subj.114	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
882	subj.114	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
1074	subj.114	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
116	subj.116	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
308	subj.116	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
500	subj.116	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
692	subj.116	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
884	subj.116	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
1076	subj.116	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
118	subj.118	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
310	subj.118	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
502	subj.118	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
694	subj.118	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
886	subj.118	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
1078	subj.118	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
12	subj.12	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
204	subj.12	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
396	subj.12	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
588	subj.12	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
780	subj.12	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
972	subj.12	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
121	subj.121	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
313	subj.121	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
505	subj.121	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
697	subj.121	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0
889	subj.121	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
1081	subj.121	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0
123	subj.123	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
315	subj.123	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
507	subj.123	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
699	subj.123	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
891	subj.123	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
1083	subj.123	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
125	subj.125	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
317	subj.125	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
509	subj.125	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
701	subj.125	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
893	subj.125	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
1085	subj.125	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
127	subj.127	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
319	subj.127	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
511	subj.127	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
703	subj.127	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
895	subj.127	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
1087	subj.127	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
129	subj.129	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
321	subj.129	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1
513	subj.129	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
705	subj.129	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
897	subj.129	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	1
1089	subj.129	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
130	subj.130	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
322	subj.130	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
514	subj.130	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
706	subj.130	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
898	subj.130	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
1090	subj.130	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
132	subj.132	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
324	subj.132	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
516	subj.132	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
708	subj.132	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0
900	subj.132	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
1092	subj.132	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
134	subj.134	.outcome.only	1	.China	.4.5	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
326	subj.134	.process.only	1	.China	.4.5	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
518	subj.134	.outcome.process	1	.China	.4.5	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
710	subj.134	.outcome.only	2	.China	.4.5	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
902	subj.134	.process.only	2	.China	.4.5	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	1	0.5	0
1094	subj.134	.outcome.process	2	.China	.4.5	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0
136	subj.136	.outcome.only	1	.China	.adults	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
328	subj.136	.process.only	1	.China	.adults	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0
520	subj.136	.outcome.process	1	.China	.adults	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	1
712	subj.136	.outcome.only	2	.China	.adults	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
904	subj.136	.process.only	2	.China	.adults	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	0	1	-0.333333333333333	0.666666666666667	1	0.5	0
1096	subj.136	.outcome.process	2	.China	.adults	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1
138	subj.138	.outcome.only	1	.China	.6.7	.male	1	-1.46321461987281	-0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	0
330	subj.138	.process.only	1	.China	.6.7	.female	2	-0.877928771923684	-0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
522	subj.138	.outcome.process	1	.China	.6.7	.male	3	-0.292642923974561	-0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
714	subj.138	.outcome.only	2	.China	.6.7	.female	4	0.292642923974561	0.999565877991263	0	0	-0.333333333333333	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
906	subj.138	.process.only	2	.China	.6.7	.male	5	0.877928771923684	0.999565877991263	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1	0	0.666666666666667	-0.333333333333333	1	0.5	1
1098	subj.138	.outcome.process	2	.China	.6.7	.female	6	1.46321461987281	0.999565877991263	0	1	-0.333333333333333	0.666666666666667	0	-0.5	1	0	0.666666666666667	-0.333333333333333	0	-0.5	1
